grid_id,species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,ax,ay,prov_geo,grid_id2,in_pa_b0,in_pa_b1_1,in_pa_b3,in_pa_b5,method,cause,method_grp,bio1,bio12,elev,warming_rate,climate_velocity,climate_exposure,unit_county,provgeo_county,unit_prefecture,provgeo_prefecture,valid_county,valid_prefecture
2245,Fringilla montifringilla,Ningxia,2010,discovery_date,2010,2011,1,106.63,38.55,FALSE,FALSE,宁夏灵武白芨滩,national,荒漠生态,1985,30.3846223012492,139552.87540782,4137189.82833789,Ningxia,2245,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.812049961090088,228,1298,0.0422685521945524,0.025231014378407,0.0107402151845823,640104,Ningxia,640100,Ningxia,TRUE,TRUE
2247,Passer hispaniolensis,Inner Mongolia,2014,discovery_date,2014,2015,1,107.8,38.4,FALSE,FALSE,内蒙古毛乌素沙地柏,provincial,荒漠生态,2000,29.542732352553,240179.797784382,4122477.71978997,Inner Mongolia,2247,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.740733337402344,301,1415,0.0422685521945524,0.025231014378407,0.0107402151845823,150623,Inner Mongolia,150600,Inner Mongolia,TRUE,TRUE
2250,Rhodospiza obsoleta,Shaanxi,2010,discovery_date,2010,2010,0,109.74,38.25,FALSE,FALSE,山西黑茶山,provincial,野生动物,2002,124.974237180643,407298.678498536,4111860.93778229,Shaanxi,2250,FALSE,FALSE,FALSE,FALSE,观察和拍摄,分布变化,birdwatching,0.818916702270508,386,1141,0.192968737556714,0.0548750555002221,0.0571667460837103,610802,Shaanxi,610800,Shaanxi,TRUE,TRUE
2258,Anastomus oscitans,Hebei,2021,discovery_date,2021,2023,2,114.16,38.24,FALSE,FALSE,河北驼梁,national,森林生态,2001,45.9254140371866,786386.984586541,4137309.07850454,Hebei,2258,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.30246667861938,495,117,0.325590305177595,0.0981936742313489,0.0923150000809967,130131,Hebei,130100,Hebei,TRUE,TRUE
2282,Aix galericulata,Xinjiang,2015,discovery_date,2015,2015,0,82.94,37.26,FALSE,FALSE,新疆中昆仑,provincial,野生动物,2001,172.448077917851,-1905388.84048277,4202786.58061111,Xinjiang,2282,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.1621000289917,32,1438,0.138596983544164,0.0491553825225537,0.0365092249655955,653227,Xinjiang,653200,Xinjiang,TRUE,TRUE
2296,Eudynamys scolopaceus,Qinghai,2023,discovery_date,2023,2024,1,90.86,38.25,FALSE,FALSE,新疆罗布泊野骆驼国家级自然保护区,national,荒漠生态,1986,45.6100523333982,-1211378.385864,4188547.25695739,Qinghai,2296,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.0150166645646095,67,3333,0.025943770905657,0.0199916177277117,0.019640334825541,632803,Qinghai,632800,Qinghai,TRUE,TRUE
2312,Chlidonias niger,Gansu,2021,discovery_date,2021,2022,1,100.44,38.98,TRUE,TRUE,甘肃黑河,provincial,野生动物,1982,0,-388054.694163778,4193551.98296284,Gansu,2312,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.589966678619385,228,1601,0.170586572735392,0.0823993028940886,0.0604800763272079,620702,Gansu,620700,Gansu,TRUE,TRUE
2312,Podiceps auritus,Gansu,2020,discovery_date,2020,2021,1,100.44,38.97,FALSE,FALSE,甘肃黑河,provincial,野生动物,1982,0.103375559781045,-388106.576824111,4192423.18392132,Gansu,2312,FALSE,TRUE,TRUE,TRUE,"","",unknown,0.589966678619385,228,1601,0.170586572735392,0.0823993028940886,0.0604800763272079,620702,Gansu,620700,Gansu,TRUE,TRUE
2313,Podiceps grisegena,Gansu,2007,discovery_date,2007,2008,1,101.1,38.86,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,13.254031503074,-332452.76836175,4177609.03480111,Gansu,2313,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.517283344268799,245,2058,0.170586572735392,0.0823993028940886,0.0604800763272079,620725,Gansu,620700,Gansu,TRUE,TRUE
2315,Alauda gulgula,Inner Mongolia,2020,discovery_date,2020,2023,3,101.9,38.99,FALSE,FALSE,民勤连古城,national,荒漠生态,1982,51.221908485964,-263823.731884646,4189887.8807573,Inner Mongolia,2315,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.75053334236145,127,1339,0.170586572735392,0.0823993028940886,0.0604800763272079,152922,Inner Mongolia,152900,Inner Mongolia,TRUE,TRUE
2317,Remiz coronatus,Gansu,2021,discovery_date,2021,2022,1,103.45,38.97,FALSE,FALSE,民勤连古城,national,荒漠生态,1982,0.0355382538341737,-131963.225919564,4184538.82072958,Gansu,2317,FALSE,TRUE,TRUE,TRUE,"","",unknown,0.848200035095215,112,1332,0.170586572735392,0.0823993028940886,0.0604800763272079,620621,Gansu,620600,Gansu,TRUE,TRUE
2321,Phylloscopus subaffinis,Inner Mongolia,2019,discovery_date,2019,2023,4,105.66,38.83,FALSE,FALSE,巴丹吉林沙漠湖泊,provincial,湿地生态,1999,6.12975635718837,56297.8326862299,4167875.33296707,Inner Mongolia,2321,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.82693338394165,178,1395,0.0422685521945524,0.025231014378407,0.0107402151845823,152921,Inner Mongolia,152900,Inner Mongolia,TRUE,TRUE
2321,Rallus aquaticus,Inner Mongolia,2009,discovery_date,2009,2023,14,105.67,38.83,FALSE,FALSE,巴丹吉林沙漠湖泊,provincial,湿地生态,1999,6.98266979757227,57150.8172984665,4167881.0464976,Inner Mongolia,2321,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化或独立成种,birdwatching,0.82693338394165,178,1395,0.0422685521945524,0.025231014378407,0.0107402151845823,152921,Inner Mongolia,152900,Inner Mongolia,TRUE,TRUE
2322,Linaria cannabina,Inner Mongolia,2019,discovery_date,2019,2023,4,105.88,38.98,TRUE,TRUE,内蒙古贺兰山,national,森林生态,1992,0,74913.1040619388,4184970.67373807,Inner Mongolia,2322,TRUE,TRUE,TRUE,TRUE,观察拍摄,分布变化,birdwatching,0.628433322906494,205,1675,0.106306392115411,0.0390005142637616,0.0480386607642616,152921,Inner Mongolia,152900,Inner Mongolia,TRUE,TRUE
2322,Turdus viscivorus,Ningxia,2021,discovery_date,2021,2023,2,106.02,38.75,TRUE,TRUE,宁夏贺兰山,national,森林生态,1982,0,87097.7337728419,4159094.87583647,Ningxia,2322,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.628433322906494,205,1675,0.106306392115411,0.0390005142637616,0.0480386607642616,640122,Ningxia,640100,Ningxia,TRUE,TRUE
2323,Limosa limosa,Ningxia,2011,discovery_date,2011,2011,0,106.46,38.87,FALSE,FALSE,宁夏贺兰山,national,森林生态,1982,20.1470142489265,124467.587087092,4173123.66290289,Ningxia,2323,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.774866676330566,197,1096,0.106306392115411,0.0390005142637616,0.0480386607642616,640221,Ningxia,640200,Ningxia,TRUE,TRUE
2323,Pycnonotus sinensis,Ningxia,2010,discovery_date,2010,2011,1,106.73,38.75,FALSE,FALSE,鄂托克恐龙遗迹化石,national,古生物遗迹,1998,41.7709399528472,147719.710572372,4159934.52097337,Inner Mongolia,2323,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.774866676330566,197,1096,0.106306392115411,0.0390005142637616,0.0480386607642616,640221,Ningxia,640200,Ningxia,TRUE,TRUE
2326,Emberiza hortulana,Inner Mongolia,2010,discovery_date,2010,2023,13,108.57,38.98,FALSE,FALSE,内蒙古西鄂尔多斯,national,野生植物,1986,98.5023096508344,303847.331908876,4190102.22507861,Inner Mongolia,2326,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.725349998474121,315,1393,0.0422685521945524,0.025231014378407,0.0107402151845823,150626,Inner Mongolia,150600,Inner Mongolia,TRUE,TRUE
2328,Panurus biarmicus,Shaanxi,2018,discovery_date,2018,2020,2,109.89,39.07,FALSE,FALSE,准格尔地质遗迹,provincial,古生物遗迹,1999,126.007651384633,415614.957440311,4205045.79124867,Shaanxi,2328,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.725566673278809,374,1297,0.192968737556714,0.0548750555002221,0.0571667460837103,610881,Shaanxi,610800,Shaanxi,TRUE,TRUE
2335,Ficedula erithacus,Hebei,2015,discovery_date,2015,2016,1,113.83,38.75,TRUE,TRUE,河北驼梁,national,森林生态,2001,0,753012.717409988,4192155.92908746,Hebei,2335,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.758916664123535,447,1071,0.325590305177595,0.0981936742313489,0.0923150000809967,130624,Hebei,130600,Hebei,TRUE,TRUE
2341,Tyto longimembris,Hebei,2004,discovery_date,2004,2005,1,117.5,38.15,FALSE,FALSE,河北黄骅古贝壳堤,provincial,古生物遗迹,1995,23.0080517000072,1073090.81465642,4158476.28146604,Hebei,2341,FALSE,FALSE,FALSE,FALSE,环志网捕,分布变化,professional_survey,1.31321668624878,524,4,0.325590305177595,0.0981936742313489,0.0923150000809967,130924,Hebei,130900,Hebei,TRUE,TRUE
2342,Aegithalos caudatus,Shandong,2023,discovery_date,2023,2024,1,117.87,38.26,TRUE,TRUE,山东滨州贝壳堤岛与湿地国家级自然保护区,national,海洋海岸,1999,0,1103071.45925944,4174863.71893711,"",2342,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.30437498092651,579,2,0.325590305177595,0.0981936742313489,0.0923150000809967,371623,Shandong,371600,Shandong,TRUE,TRUE
2342,Sitta villosa,Shandong,2023,discovery_date,2023,2024,1,117.87,38.26,TRUE,TRUE,山东滨州贝壳堤岛与湿地国家级自然保护区,national,海洋海岸,1999,0,1103071.45925944,4174863.71893711,"",2342,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.30437498092651,579,2,0.325590305177595,0.0981936742313489,0.0923150000809967,371623,Shandong,371600,Shandong,TRUE,TRUE
2381,Fringilla coelebs,Gansu,2020,discovery_date,2020,2024,4,98.17,39.07,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,1.01795192555275,-580277.866637254,4214776.25126797,Gansu,2381,FALSE,TRUE,TRUE,TRUE,"","",unknown,-0.40203332901001,306,4098,0.170586572735392,0.0823993028940886,0.0604800763272079,620721,Gansu,620700,Gansu,TRUE,TRUE
2386,Pseudopodoces humilis,Inner Mongolia,2020,discovery_date,2020,2023,3,100.87,39.18,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,20.0810635951867,-350544.21771212,4214529.42284089,Inner Mongolia,2386,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.691133308410645,172,1653,0.0422685521945524,0.025231014378407,0.0107402151845823,152922,Inner Mongolia,152900,Inner Mongolia,TRUE,TRUE
2387,Remiz coronatus,Inner Mongolia,2021,discovery_date,2021,2022,1,101.65,39.21,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,69.5799248543639,-284253.445028685,4215422.93867031,Inner Mongolia,2387,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.733699989318848,128,1538,0.0422685521945524,0.025231014378407,0.0107402151845823,152922,Inner Mongolia,152900,Inner Mongolia,TRUE,TRUE
2414,Eumyias thalassinus,Tianjin,2018,discovery_date,2018,2018,0,117.47,38.71,FALSE,FALSE,河北南大港湿地和鸟类,provincial,湿地生态,1995,16.8067122970505,1062599.89129422,4220947.95155963,Tianjin,2414,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,1.27321662902832,533,3,0.101836937794206,0.0236811882055906,0.0626627916789563,120116,Tianjin,120000,Tianjin,TRUE,TRUE
2414,Phylloscopus burkii,Tianjin,2002,discovery_date,2002,2002,0,117.21,38.96,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,38.7737627495757,1037091.87838178,4246232.36859041,Tianjin,2414,FALSE,FALSE,FALSE,FALSE,标本采集,分布变化,professional_survey,1.27321662902832,533,3,0.101836937794206,0.0236811882055906,0.0626627916789563,120111,Tianjin,120000,Tianjin,TRUE,TRUE
2414,Turdus ruficollis,Tianjin,2005,discovery_date,2005,2006,1,117.1,38.91,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,48.2309122991897,1028482.13529981,4239480.29302823,Tianjin,2414,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.27321662902832,533,3,0.101836937794206,0.0236811882055906,0.0626627916789563,120118,Tianjin,120000,Tianjin,TRUE,TRUE
2454,Ixobrychus minutus,Gansu,2019,discovery_date,2019,2020,1,98.55,39.73,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,25.7211542786381,-543199.218533113,4287019.74960078,Gansu,2454,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.676433324813843,106,1556,0.170586572735392,0.0823993028940886,0.0604800763272079,620902,Gansu,620900,Gansu,TRUE,TRUE
2454,Phoenicurus erythronotus,Gansu,2019,discovery_date,2019,2020,1,98.53,39.75,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,26.7240302420585,-544734.073010744,4289383.40819474,Gansu,2454,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.676433324813843,106,1556,0.170586572735392,0.0823993028940886,0.0604800763272079,620902,Gansu,620900,Gansu,TRUE,TRUE
2454,Turdus viscivorus,Gansu,2018,discovery_date,2018,2019,1,98.53,39.75,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,26.7240302420585,-544734.073010744,4289383.40819474,Gansu,2454,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.676433324813843,106,1556,0.170586572735392,0.0823993028940886,0.0604800763272079,620902,Gansu,620900,Gansu,TRUE,TRUE
2468,Elanus caeruleus,Inner Mongolia,2022,discovery_date,2022,2023,1,106.78,39.73,FALSE,FALSE,内蒙古西鄂尔多斯,national,野生植物,1986,19.0152248674018,150003.608969834,4270713.18356539,Inner Mongolia,2468,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.812899971008301,157,1082,0.0422685521945524,0.025231014378407,0.0107402151845823,150302,Inner Mongolia,150300,Inner Mongolia,TRUE,TRUE
2486,Aegithalos caudatus,Tianjin,2016,discovery_date,2016,2020,4,117.59,39.3,TRUE,TRUE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,0,1064339.1000684,4288371.19841486,Tianjin,2486,TRUE,TRUE,TRUE,TRUE,观察和拍摄,"",birdwatching,1.25108337402344,559,5,0.101836937794206,0.0236811882055906,0.0626627916789563,120117,Tianjin,120000,Tianjin,TRUE,TRUE
2486,Branta canadensis,Tianjin,2014,discovery_date,2014,2017,3,117.43,39.26,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,1.32157691218013,1051448.48157967,4282182.95973706,Tianjin,2486,FALSE,FALSE,TRUE,TRUE,观察拍摄,"",birdwatching,1.25108337402344,559,5,0.101836937794206,0.0236811882055906,0.0626627916789563,120117,Tianjin,120000,Tianjin,TRUE,TRUE
2486,Elanus caeruleus,Tianjin,2004,discovery_date,2004,2006,2,117.11,39.17,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,27.325539295273,1025753.24328825,4268744.3579543,Tianjin,2486,FALSE,FALSE,FALSE,FALSE,整理照片时发现，观察拍摄,分布变化,birdwatching,1.25108337402344,559,5,0.101836937794206,0.0236811882055906,0.0626627916789563,120111,Tianjin,120000,Tianjin,TRUE,TRUE
2486,Hydrophasianus chirurgus,Tianjin,2014,discovery_date,2014,2015,1,117.32,39.12,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,18.4552905344509,1044149.51260791,4265326.78121791,Tianjin,2486,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.25108337402344,559,5,0.101836937794206,0.0236811882055906,0.0626627916789563,120110,Tianjin,120000,Tianjin,TRUE,TRUE
2486,Saxicola ferreus,Tianjin,2019,discovery_date,2019,2019,0,117.63,39.07,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,9.41734087339818,1070999.39910178,4263023.96713508,Tianjin,2486,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,1.25108337402344,559,5,0.101836937794206,0.0236811882055906,0.0626627916789563,120116,Tianjin,120000,Tianjin,TRUE,TRUE
2510,Cecropis daurica,Xinjiang,2010,discovery_date,2010,2013,3,88.16,39.03,FALSE,FALSE,新疆罗布泊野骆驼国家级自然保护区,national,荒漠生态,1986,75.7378192186878,-1425765.04800932,4311498.48176005,Xinjiang,2510,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.084850025177,30,811,0.138596983544164,0.0491553825225537,0.0365092249655955,652824,Xinjiang,652800,Xinjiang,TRUE,TRUE
2510,Phylloscopus coronatus,Xinjiang,2010,discovery_date,2010,2013,3,88.16,39.05,FALSE,FALSE,新疆罗布泊野骆驼国家级自然保护区,national,荒漠生态,1986,75.1989533302221,-1425383.55848762,4313725.95295332,Xinjiang,2510,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.084850025177,30,811,0.138596983544164,0.0491553825225537,0.0365092249655955,652824,Xinjiang,652800,Xinjiang,TRUE,TRUE
2520,Hieraaetus pennatus,Gansu,2013,discovery_date,2013,2014,1,94.12,39.88,TRUE,TRUE,敦煌阳关,national,湿地生态,1994,0,-913238.12853582,4336399.23354536,Gansu,2520,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.863049983978272,32,1428,0.170586572735392,0.0823993028940886,0.0604800763272079,620982,Gansu,620900,Gansu,TRUE,TRUE
2527,Columba oenas,Gansu,2021,discovery_date,2021,2022,1,98.44,39.91,FALSE,FALSE,甘肃祁连山,national,森林生态,1987,38.3598284155286,-551107.48005883,4307910.77713226,Gansu,2527,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.764433336257935,74,1292,0.170586572735392,0.0823993028940886,0.0604800763272079,620200,Gansu,620200,Gansu,TRUE,TRUE
2555,Phylloscopus soror,Beijing,2011,discovery_date,2011,2013,2,115.43,40,FALSE,FALSE,北京百花山,national,森林生态,1985,0.715326954742217,874187.422596462,4345821.38433782,Beijing,2555,FALSE,TRUE,TRUE,TRUE,记录鸣唱，回放鸣声，网捕,分布变化,professional_survey,0.448999977111816,496,1511,0.325590305177595,0.0981936742313489,0.0923150000809967,130731,Hebei,130700,Hebei,FALSE,FALSE
2556,Passer cinnamomeus,Beijing,2004,discovery_date,2004,2004,0,115.48,39.77,FALSE,FALSE,北京百花山,national,森林生态,1985,7.53183831535383,881099.306304202,4320433.46464961,Beijing,2556,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.848600006103516,524,879,0.157096469842086,0.0434172833091068,0.0512745911076958,110111,Beijing,110000,Beijing,TRUE,TRUE
2557,Accipiter trivirgatus,Beijing,2013,discovery_date,2013,2013,0,116.17,39.99,FALSE,FALSE,北京百花山,national,森林生态,1985,39.4641603747012,936083.885109144,4351445.42334276,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110108,Beijing,110000,Beijing,TRUE,TRUE
2557,Elanus caeruleus,Beijing,2013,discovery_date,2013,2013,0,116.17,39.99,FALSE,FALSE,北京百花山,national,森林生态,1985,39.4641603747012,936083.885109144,4351445.42334276,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110108,Beijing,110000,Beijing,TRUE,TRUE
2557,Ficedula strophiata,Beijing,2015,discovery_date,2015,2017,2,116.4,39.95,FALSE,FALSE,北京百花山,national,森林生态,1985,57.8880112203743,955792.252582835,4349149.12718674,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察拍摄,"",birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110101,Beijing,110000,Beijing,TRUE,TRUE
2557,Glaucidium cuculoides,Beijing,2006,discovery_date,2006,2008,2,116.37,39.91,FALSE,FALSE,北京百花山,national,森林生态,1985,55.1793864013369,953804.206242261,4344373.26293183,Beijing,2557,FALSE,FALSE,FALSE,FALSE,救助，市民发现的受困野生动物,分布变化,professional_survey,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110102,Beijing,110000,Beijing,TRUE,TRUE
2557,Histrionicus histrionicus,Beijing,2017,discovery_date,2017,2017,0,116.4,39.98,FALSE,FALSE,北京百花山,national,森林生态,1985,58.2577621469508,955404.115317178,4352514.4804296,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察拍摄,"",birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110105,Beijing,110000,Beijing,TRUE,TRUE
2557,Spizixos semitorques,Beijing,2019,discovery_date,2019,2022,3,116.33,39.94,FALSE,FALSE,北京百花山,national,森林生态,1985,51.9380136749735,950077.522526656,4347355.39058905,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察拍摄,"",birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110102,Beijing,110000,Beijing,TRUE,TRUE
2557,Turdus cardis,Beijing,2013,discovery_date,2013,2014,1,116.33,40,FALSE,FALSE,北京百花山,national,森林生态,1985,52.8357873297846,949305.997157936,4354086.61359374,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110108,Beijing,110000,Beijing,TRUE,TRUE
2557,Turdus mandarinus,Beijing,2007,discovery_date,2007,2011,4,116.29,40,FALSE,FALSE,北京百花山,national,森林生态,1985,49.5463267209673,945969.004771311,4353704.81225059,Beijing,2557,FALSE,FALSE,FALSE,FALSE,观察和拍摄,分布变化，调查不足,birdwatching,1.23383331298828,579,48,0.157096469842086,0.0434172833091068,0.0512745911076958,110108,Beijing,110000,Beijing,TRUE,TRUE
2564,Lanius tephronotus,Xinjiang,2004,discovery_date,2004,2004,0,75.4,37.37,FALSE,FALSE,塔什库尔干野生动物,provincial,野生动物,1984,4.11490345727438,-2536127.39834837,4383551.36056481,Xinjiang,2564,FALSE,FALSE,FALSE,TRUE,"","",unknown,-0.448716688156128,98,4462,0.138596983544164,0.0491553825225537,0.0365092249655955,653131,Xinjiang,653100,Xinjiang,TRUE,TRUE
2596,Podoces biddulphi,Gansu,2008,discovery_date,2008,2009,1,93.47,40.28,TRUE,TRUE,敦煌西湖,national,野生动物,1992,0,-962325.469664281,4387416.0667945,Gansu,2596,TRUE,TRUE,TRUE,TRUE,"","",unknown,1.00468339920044,23,1010,0.170586572735392,0.0823993028940886,0.0604800763272079,620982,Gansu,620900,Gansu,TRUE,TRUE
2602,Spilopelia senegalensis,Gansu,2020,discovery_date,2020,2023,3,97.11,40.47,FALSE,FALSE,甘肃安西极旱荒漠国家级自然保护区,national,荒漠生态,1987,76.2646030821408,-657606.544093199,4379064.4766791,Gansu,2602,FALSE,FALSE,FALSE,FALSE,"","",unknown,0.745766687393189,75,1367,0.170586572735392,0.0823993028940886,0.0604800763272079,620981,Gansu,620900,Gansu,TRUE,TRUE
2624,Grus nigricollis,Inner Mongolia,2023,discovery_date,2023,2023,0,110.34,40.49,FALSE,FALSE,内蒙古大青山,national,森林生态,1996,24.1222074076998,445204.795673912,4367153.49679267,Inner Mongolia,2624,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.496916675567627,321,1379,0.0422685521945524,0.025231014378407,0.0107402151845823,150221,Inner Mongolia,150200,Inner Mongolia,TRUE,TRUE
2625,Pericrocotus ethologus,Inner Mongolia,2013,discovery_date,2013,2014,1,111.28,40.55,FALSE,FALSE,内蒙古大青山,national,森林生态,1996,20.4565023100085,523049.404100311,4378497.51872903,Inner Mongolia,2625,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.599616670608521,302,989,0.0422685521945524,0.025231014378407,0.0107402151845823,150122,Inner Mongolia,150100,Inner Mongolia,TRUE,TRUE
2634,Ceryle rudis,Beijing,2005,discovery_date,2005,2011,6,116.23,40.27,FALSE,FALSE,北京松山,national,森林生态,1986,43.2386552748687,937522.383310539,4383424.15058461,Beijing,2634,FALSE,FALSE,FALSE,FALSE,观察和拍摄,分布变化，调查不足,birdwatching,1.14731664657593,514,83,0.157096469842086,0.0434172833091068,0.0512745911076958,110114,Beijing,110000,Beijing,TRUE,TRUE
2634,Pycnonotus sinensis,Beijing,2002,discovery_date,2002,2003,1,116.62,40.36,FALSE,FALSE,天津八仙山,national,森林生态,1984,59.1031711399951,968748.346597854,4397260.85725625,Beijing,2634,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.14731664657593,514,83,0.157096469842086,0.0434172833091068,0.0512745911076958,110116,Beijing,110000,Beijing,TRUE,TRUE
2642,Phoenicurus leucocephalus,Xinjiang,2009,discovery_date,2009,2010,1,75.21,37.8,FALSE,FALSE,塔什库尔干野生动物,provincial,野生动物,1984,48.0119134829349,-2537548.8821707,4434857.68885687,Xinjiang,2642,FALSE,FALSE,FALSE,FALSE,"","",unknown,-0.478283309936523,91,4272,0.138596983544164,0.0491553825225537,0.0365092249655955,653131,Xinjiang,653100,Xinjiang,TRUE,TRUE
2670,Spinus spinus,Xinjiang,2010,discovery_date,2010,2010,0,91.25,40.63,FALSE,FALSE,新疆罗布泊野骆驼国家级自然保护区,national,荒漠生态,1986,63.6427224268132,-1141069.31856045,4450121.00549488,Xinjiang,2670,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.11459999084473,18,791,0.138596983544164,0.0491553825225537,0.0365092249655955,652824,Xinjiang,652800,Xinjiang,TRUE,TRUE
2703,Otus semitorques,Inner Mongolia,2022,discovery_date,2022,2022,0,110.82,40.85,TRUE,TRUE,内蒙古大青山,national,森林生态,1996,0,482799.17588919,4409956.60230765,Inner Mongolia,2703,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.182683324813843,324,1980,0.0422685521945524,0.025231014378407,0.0107402151845823,150125,Inner Mongolia,150100,Inner Mongolia,TRUE,TRUE
2704,Spilopelia chinensis,Inner Mongolia,2004,discovery_date,2004,2006,2,111.72,40.81,FALSE,FALSE,内蒙古大青山,national,森林生态,1996,8.99021200278149,557657.674917173,4410168.61962514,Inner Mongolia,2704,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,0.258800005912781,305,1764,0.0422685521945524,0.025231014378407,0.0107402151845823,150105,Inner Mongolia,150100,Inner Mongolia,TRUE,TRUE
2711,Lanius schach,Beijing,2009,discovery_date,2009,2011,2,115.91,40.52,FALSE,FALSE,北京松山,national,森林生态,1986,7.61904234137669,907822.015279491,4408494.18331685,Beijing,2711,FALSE,FALSE,FALSE,FALSE,观察和拍摄,分布变化，调查不足,birdwatching,0.732616662979126,442,962,0.325590305177595,0.0981936742313489,0.0923150000809967,110119,Beijing,110000,Beijing,TRUE,TRUE
2721,Branta canadensis,Liaoning,2020,discovery_date,2020,2022,2,123.8,39.83,TRUE,TRUE,辽宁鸭绿江口湿地国家级自然保护区,national,海洋海岸,1997,0,1572814.88033253,4430024.7240469,"",2721,TRUE,TRUE,TRUE,TRUE,"","",unknown,0.972633361816406,837,2,0.241593679938866,0.0863163654593768,0.0709852748416341,,,,,FALSE,FALSE
